,returns,divergent,cummret,results
2008-05-19,-5.616392808156746e-05,1.0,1.223905886173068,NONE
2008-05-20,0.000599878728944717,1.0,1.2246400812804135,NONE
2008-05-21,-0.00023827150907218802,1.0,1.2243482844401765,NONE
2008-05-22,-2.0561489591768706e-05,1.0,1.2243231100156693,NONE
2008-05-23,-0.0012013154636610675,1.0,1.2228523117310899,NONE
2008-05-27,0.0027500497914436633,1.0,1.2262152164759323,NONE
2008-05-28,0.001080451360925331,1.0,1.227540082375361,NONE
2008-05-29,-0.0011114430877959894,1.0,1.2261757414358125,NONE
2008-05-30,0.0006001451324218874,1.0,1.226911624838529,NONE
2008-06-02,-0.0016019054281928005,1.0,1.2249462284467874,NONE
2008-06-03,0.0008241506918106739,1.0,1.2259557687283926,NONE
2008-06-04,0.0008191832787639987,1.0,1.2269600511946392,NONE
2008-06-05,-7.58253150576968e-05,1.0,1.2268670165621942,NONE
2008-06-06,-0.0009016733704587518,1.0,1.2257607832442659,NONE
2008-06-09,0.0,0.0,1.2257607832442659,NONE
2008-06-10,0.0,0.0,1.2257607832442659,NONE
2008-06-11,0.0,-1.0,1.2257607832442659,WIN
2008-06-12,0.0003810154320495786,0.0,1.226227817018683,NONE
2008-06-13,0.0,0.0,1.226227817018683,NONE
2008-06-16,0.0,0.0,1.226227817018683,NONE
2008-06-17,0.0,0.0,1.226227817018683,NONE
2008-06-18,0.0,0.0,1.226227817018683,NONE
2008-06-19,0.0,1.0,1.226227817018683,LOSE
2008-06-20,0.00037099839965326576,1.0,1.2266827455764073,NONE
2008-06-23,0.0003434254955323988,1.0,1.2271040197061678,NONE
2008-06-24,4.769072338316454e-05,1.0,1.227162541184534,NONE
2008-06-25,0.0005177148679345582,1.0,1.2277978614774774,NONE
2008-06-26,0.0003831457791047435,1.0,1.2282682870456965,NONE
2008-06-27,0.0012470792414753136,1.0,1.2298000349294336,NONE
2008-06-30,-0.0004886284711573789,1.0,1.2291991196185368,NONE
2008-07-01,-0.002254822806243839,1.0,1.2264274934102062,NONE
2008-07-02,0.0005470977566432423,1.0,1.2270984691405367,NONE
2008-07-03,0.0002931889839541072,1.0,1.2274582408939156,NONE
2008-07-07,0.0010705535787317814,1.0,1.2287723007064486,NONE
2008-07-08,-0.0006077222728914089,1.0,1.2280255484109972,NONE
2008-07-09,0.0029906678258118918,1.0,1.2316981649079048,NONE
2008-07-10,-0.0012890737386044553,1.0,1.2301104151496347,NONE
2008-07-11,-0.0013818889356252435,1.0,1.2284105391773419,NONE
2008-07-14,-0.0014042368784252305,1.0,1.2266855597963828,NONE
2008-07-15,-0.0019241702233453502,1.0,1.224325207968815,NONE
2008-07-16,-0.0005469413308903967,1.0,1.2236555739101258,NONE
2008-07-17,-0.00019184297272955252,1.0,1.2234208241872297,NONE
2008-07-18,-0.0014620949225541014,1.0,1.2216320668120386,NONE
2008-07-21,0.0006512113237748312,1.0,1.2224276074474332,NONE
2008-07-22,-0.0009138452980540102,1.0,1.221310497726156,NONE
2008-07-23,0.0016390967281585192,1.0,1.2233123437670446,NONE
2008-07-24,-0.0007826061167537303,0.0,1.222354972044112,NONE
2008-07-25,0.0,1.0,1.222354972044112,LOSE
2008-07-28,0.00018358293594069285,1.0,1.2225793755586416,NONE
2008-07-29,0.002476405319150682,1.0,1.2256069776273588,NONE
2008-07-30,-0.000956448640423469,1.0,1.2244347474999135,NONE
2008-07-31,-0.0009130703078821193,1.0,1.2233167524880322,NONE
2008-08-01,-0.0011466674022457945,1.0,1.221914015045333,NONE
2008-08-04,0.0020281158649951498,1.0,1.2243921982449062,NONE
2008-08-05,0.0005606515937196382,1.0,1.22507865568219,NONE
2008-08-06,0.0005801269052701846,1.0,1.2257893567714233,NONE
2008-08-07,-0.0017576590452525733,1.0,1.2236348370209196,NONE
2008-08-08,-0.00032140099952890615,1.0,1.2232415595612427,NONE
2008-08-11,0.000369331226680706,1.0,1.2236933408669624,NONE
2008-08-12,0.001583840919848429,1.0,1.2256314764535736,NONE
2008-08-13,-2.7275161273362394e-06,1.0,1.2256281335239554,NONE
2008-08-14,0.0005477526327059955,1.0,1.2262994745608118,NONE
2008-08-15,-0.0006148732245462906,1.0,1.2255454558486292,NONE
2008-08-18,3.433724762462193e-05,1.0,1.2255875377064218,NONE
2008-08-19,-0.000619395761465075,1.0,1.224828413980262,NONE
2008-08-20,-0.0010621686664342967,1.0,1.2235274396171738,NONE
2008-08-21,-0.0008284058199580493,1.0,1.2225138623653167,NONE
2008-08-22,-1.6201219419652996e-05,1.0,1.2224940561499889,NONE
2008-08-25,-0.0006726851068405842,1.0,1.2216717026052155,NONE
2008-08-26,0.0005722384071815219,1.0,1.2223707900744132,NONE
2008-08-27,0.00012248203618298904,1.0,1.222520508537752,NONE
2008-08-28,0.000938606306661273,1.0,1.2236679739970882,NONE
2008-08-29,-0.002095272052901177,1.0,1.2211040566891418,NONE
2008-09-02,0.0019619217787104635,1.0,1.223499767332032,NONE
2008-09-03,-0.0011926393738110642,1.0,1.2220405733356632,NONE
2008-09-04,0.0,0.0,1.2220405733356632,NONE
2008-09-05,0.0,0.0,1.2220405733356632,NONE
2008-09-08,0.0,0.0,1.2220405733356632,NONE
2008-09-09,0.0,0.0,1.2220405733356632,NONE
2008-09-10,0.0,0.0,1.2220405733356632,NONE
2008-09-11,0.0,1.0,1.2220405733356632,WIN
2008-09-12,0.00019698422913568252,1.0,1.2222812960559741,NONE
2008-09-15,0.0017918813630167895,1.0,1.224471479130741,NONE
2008-09-16,3.394759920450317e-05,1.0,1.2245130469977519,NONE
2008-09-17,-0.0008368943786262349,1.0,1.223488258912165,NONE
2008-09-18,-0.00045279656980292283,1.0,1.2229342676253354,NONE
2008-09-19,0.0009480968701940018,1.0,1.224093727776924,NONE
2008-09-22,0.00248035741914371,1.0,1.2271299177363426,NONE
2008-09-23,0.0008348807210537654,1.0,1.2281544248468892,NONE
2008-09-24,-2.6762982635976547e-05,1.0,1.2281215557713427,NONE
2008-09-25,0.0010566463386663184,1.0,1.2294192459166857,NONE
2008-09-26,0.0006614817753361822,1.0,1.230232484342107,NONE
2008-09-29,-0.0011191960881285529,1.0,1.2288556129581427,NONE
2008-09-30,-0.0020830906067530624,1.0,1.226295795373734,NONE
2008-10-01,6.245988667691067e-05,1.0,1.2263723896701453,NONE
2008-10-02,0.00022069078792848022,1.0,1.2266430387591154,NONE
2008-10-03,-0.000742443751846797,1.0,1.2257323252992423,NONE
2008-10-06,-0.00014335012867183576,1.0,1.2255566164126934,NONE
2008-10-07,0.0011707253971414856,1.0,1.2269914066691627,NONE
2008-10-08,0.0002630955583633506,1.0,1.2273142226584073,NONE
2008-10-09,0.00016360567171702818,1.0,1.2275150182262133,NONE
2008-10-10,0.00017219602300756385,1.0,1.227726391430534,NONE
2008-10-14,-0.00028612483594861807,1.0,1.2273751084181963,NONE
2008-10-15,-0.0002341481816652408,1.0,1.227087720768339,NONE
2008-10-16,-0.00011494987269086102,1.0,1.2269466671910563,NONE
2008-10-17,0.001583134187670211,1.0,1.2288890884063344,NONE
2008-10-20,0.0002553807662183787,1.0,1.229202923043329,NONE
2008-10-21,-0.00039315584865243073,1.0,1.228719654724954,NONE
2008-10-22,-0.0014625257637593471,1.0,1.2269226205734811,NONE
2008-10-23,0.0012732727389037166,1.0,1.2284848276990017,NONE
2008-10-24,-0.00022779209704270839,1.0,1.228204988563915,NONE
2008-10-27,0.0011512230011187477,1.0,1.2296189263968387,NONE
2008-10-28,0.0018564287910307815,1.0,1.231901626373798,NONE
2008-10-29,-0.0010002836165695222,1.0,1.2306693753597109,NONE
2008-10-30,-0.0002026668308218937,1.0,1.230419959497617,NONE
2008-10-31,0.0013800001899251647,1.0,1.2321179392754114,NONE
2008-11-03,0.00044567383338686446,1.0,1.232667062000593,NONE
2008-11-04,0.0015271648710552285,1.0,1.2345495478353874,NONE
2008-11-05,-0.0005634290350541079,1.0,1.233853966774924,NONE
2008-11-06,0.0016640190908662296,1.0,1.2359071233309786,NONE
2008-11-07,0.0008508269103114151,1.0,1.2369586663701542,NONE
2008-11-10,-0.001138321920981945,1.0,1.2355506092048765,NONE
2008-11-12,0.0031379909307120814,1.0,1.2394277558109972,NONE
2008-11-13,0.0009997326046963188,1.0,1.240666852149647,NONE
2008-11-14,0.00034122452819622515,1.0,1.2410901981109204,NONE
2008-11-17,-0.000756058969214388,1.0,1.2401518607350346,NONE
2008-11-18,0.0006849128439126535,1.0,1.241001256672854,NONE
